&Номер КЛАССА&Наименование КЛАССА&Номер БЛОКА&Наименование БЛОКА&КОД&Наименование КОДА 3-х, 4-х и 5-тизначных рубрик 
0&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A00&Холера
19&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A03.2&Шигеллез, вызванный Shigella boydii
20&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A03.3&Шигеллез, вызванный Shigella sonnei
21&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A03.8&Другой шигеллез
22&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A03.9&Шигеллез неуточненный
23&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04&Другие бактериальные кишечные инфекции
24&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.0&Энтеропатогенная инфекция, вызванная Escherichia coli
25&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.1&Энтеротоксигенная инфекция, вызванная Escherichia coli
26&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.2&Энтероинвазивная инфекция, вызванная Escherichia coli
27&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.3&Энтерогеморрагическая инфекция, вызванная Escherihia coli
28&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.4&Другие кишечные инфекции, вызванные Escherichia coli
29&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.5&Энтерит, вызванный Campylobacter
30&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.6&Энтерит, вызванный Yersinia enterocolitica
31&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.7&Энтероколит, вызванный Clostridium difficile
32&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.8&Другие уточненные бактериальные кишечные инфекции
33&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A04.9&Бактериальная кишечная инфекция неуточненная
34&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A05&Другие бактериальные пищевые отравления
35&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A05.0&Стафилококковое пищевое отравление
36&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A05.1&Ботулизм
37&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A05.2&Пищевое отравление, вызванное Clostridium perfringens  Clostridium welchii  
38&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A05.3&Пищевое отравление, вызванное Vibrio parahaemolyticus
39&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A05.4&Пищевое отравление, вызванное Bacillus cereus
40&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A05.8&Другие уточненные бактериальные пищевые отравления
41&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A05.9&Бактериальное пищевое отравление неуточненное
42&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06&Амебиаз
43&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.0&Острая амебная дизентерия
44&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.1&Хронический кишечный амебиаз
45&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.2&Амебный недизентерийный колит
46&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.3&Амебома кишечника
47&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.4&Амебный абсцесс печени
48&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.5&Амебный абсцесс легкого  J99.8*  
49&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.6&Амебный абсцесс головного мозга  G07*  
50&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.7&Кожный амебиаз
51&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.8&Амебная инфекция другой локализации
52&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A06.9&Амебиаз неуточненный
53&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A07&Другие протозойные кишечные болезни
54&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A07.0&Балантидиаз
55&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A07.1&Жиардиаз  лямблиоз  
56&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A07.2&Криптоспоридиоз
57&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A07.3&Изоспороз
58&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A07.8&Другие уточненные протозойные кишечные болезни
59&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A07.9&Протозойная кишечная болезнь неуточненная
60&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A08&Вирусные и другие уточненные кишечные инфекции
61&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A08.0&Ротавирусный энтерит
62&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A08.1&Острая гастроэнтеропатия,вызванная возбудителем Норволк
63&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A08.2&Аденовирусный энтерит
64&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A08.3&Другие вирусные энтериты
65&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A08.4&Вирусная кишечная инфекция неуточненная
66&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A08.5&Другие уточненные кишечные инфекции
67&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A09&Диарея и гастроэнтерит предположительно инфекционные
68&1&Некоторые инфекционные и паразитарные болезни& A00-A09  &Кишечные инфекции&A09&Диарея и гастроэнтерит предположительно инфекционного происхождения
69&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15&Туберкулез органов дыхания, подтвержденный бактериологически и гистологически
70&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.0&Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры
71&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.1&Туберкулез легких, подтвержденный только ростом культуры
72&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.2&Туберкулез легких, подтвержденный гистологически
73&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.3&Туберкулез легких, подтвержденный неуточненными методами
74&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.4&Туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически
75&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.5&Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически
76&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.6&Туберкулезный плеврит, подтвержденный бактериологически и гистологически
77&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.7&Первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически
78&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.8&Туберкулез других органов дыхания, подтвержденный бактериологически и гистологически
79&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A15.9&Туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически
80&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16&Туберкулез органов дыхания, не подтвержденный бактериологически или гистологически
81&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16.0&Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований
82&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16.1&Туберкулез легких без проведения бактериологического и гистологического исследований
83&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16.2&Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении
84&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16.3&Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении
85&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16.4&Туберкулез гортани,трахеи,бронхов без упоминания о бактериологическом или гистологическом подтверждении
86&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16.5&Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении
87&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16.7&Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
88&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16.8&Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
89&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A16.9&Туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении
90&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A17&Туберкулез нервной системы
91&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A17.0&Туберкулезный менингит  G01*  
92&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A17.1&Менингеальная туберкулема  G07*  
93&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A17.8&Туберкулез нервной системы других локализаций
94&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A17.9&Туберкулез нервной системы неуточненный  G99.8*  
95&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18&Туберкулез других органов
96&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18.0&Туберкулез костей и суставов
97&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18.1&Туберкулез мочеполовых органов
98&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18.2&Туберкулезная периферическая лимфаденопатия
99&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18.3&Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов
100&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18.4&Туберкулез кожи и подкожной клетчатки
101&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18.5&Туберкулез глаза
102&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18.6&Туберкулез уха
103&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18.7&Туберкулез надпочечников  Е35.1*  
104&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A18.8&Туберкулез других уточненных органов
105&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A19&Милиарный туберкулез
106&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A19.0&Острый милиарный туберкулез одной уточненной локализации
107&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A19.1&Острый милиарный туберкулез множественной локализации
108&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A19.2&Острый милиарный туберкулез неуточненной локализации
109&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A19.8&Другие формы милиарного туберкулеза
110&1&Некоторые инфекционные и паразитарные болезни& A15-A19  &Туберкулез&A19.9&Милиарный туберкулез неуточненной локализации
111&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A20&Чума
112&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A20.0&Бубонная чума
113&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A20.1&Целлюлярнокожная чума
114&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A20.2&Легочная чума
115&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A20.3&Чумной менингит
116&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A20.7&Септическая чума
117&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A20.8&Другие формы чумы
118&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A20.9&Чума неуточненная
119&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A21&Туляремия
120&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A21.0&Ульцерогландулярная туляремия
121&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A21.1&Окулогландулярная туляремия
122&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A21.2&Легочная туляремия
123&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A21.3&Желудочно-кишечная туляремия
124&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A21.7&Генерализованная туляремия
125&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A21.8&Другие формы туляремии
126&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A21.9&Туляремия неуточненная
127&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A22&Сибирская язва
128&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A22.0&Кожная форма сибирской язвы
129&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A22.1&Легочная форма сибирской язвы
130&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A22.2&Желудочно-кишечная форма сибирской язвы
131&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A22.7&Сибиреязвенная септицемия
132&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A22.8&Другие формы сибирской язвы
133&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A22.9&Сибирская язва неуточненная
134&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A23&Бруцеллез
135&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A23.0&Бруцеллез, вызванный Brucella melitensis
136&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A23.1&Бруцеллез, вызванный Brucella abortus
137&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A23.2&Бруцеллез, вызванный Brucella suis
138&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A23.3&Бруцеллез, вызванный Brucella canis
139&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A23.8&Другие формы бруцеллеза
140&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A23.9&Бруцеллез неуточненный
141&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A24&Сап и мелиоидоз
142&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A24.0&Сап
143&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A24.1&Острый или молниеносный мелиоидоз
144&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A24.2&Подострый и хронический мелиоидоз
145&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A24.3&Другой уточненный мелиоидоз
146&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A24.4&Мелиоидоз неуточненный
147&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A25&Лихорадка от укуса крыс
148&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A25.0&Спириллез
149&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A25.1&Стрептобациллез
150&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A25.9&Лихорадка от укуса крыс неуточненная
151&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A26&Эризепелоид
152&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A26.0&Кожный эризипелоид
153&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A26.7&Септицемия, вызванная Erysipelothrix
154&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A26.8&Другие формы эризипелоида
155&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A26.9&Эризипелоид неуточненный
156&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A27&Лептоспироз
157&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A27.0&Лептоспироз желтушно-геморрагический
158&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A27.8&Другие формы лептоспироза
159&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A27.9&Лептоспироз неуточненный
160&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A28&Другие бактериальные зоонозы, не классифицированные в других рубриках
161&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A28.0&Пастереллез
162&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A28.1&Лихорадка от кошачьих царапин
163&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A28.2&Экстраинтестинальный иерсиниоз
164&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A28.8&Другие уточненные бактериальные зоонозы, не классифицированные в других рубриках
165&1&Некоторые инфекционные и паразитарные болезни& A20-A28  &Некоторые бактериальные зоонозы&A28.9&Бактериальные зоонозы неуточненные
166&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A30&Лепра [болезнь Гансена]
167&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A30.0&Недифференцированная лепра
168&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A30.1&Туберкулоидная лепра
169&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A30.2&Пограничная туберкулоидная лепра
170&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A30.3&Пограничная лепра
171&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A30.4&Пограничная лепроматозная лепра
172&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A30.5&Лепроматозная лепра
173&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A30.8&Другие формы лепры
174&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A30.9&Лепра неуточненная
175&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A31&Инфекции, вызванные другими микробактериями
176&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A31.0&Легочная инфекция, вызванная Mycobacterium
177&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A31.1&Кожная инфекция, вызванная Mycobacterium
178&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A31.8&Другие инфекции, вызванные Mycobacterium
179&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A31.9&Инфекция, вызванная Mycobacterium, неуточненная
180&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A32&Листериоз
181&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A32.0&Кожный листериоз
182&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A32.1&Листериозный менингит и менингоэнцефалит
183&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A32.7&Листериозная септицемия
184&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A32.8&Другие формы листериоза
185&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A32.9&Листериоз неуточненный
186&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A33&Столбняк новорожденного
187&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A33&Столбняк новорожденного
188&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A34&Акушерский столбняк
189&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A34&Акушерский столбняк
190&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A35&Другие формы столбняка
191&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A35&Другие формы столбняка
192&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A36&Дифтерия
193&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A36.0&Дифтерия глотки
194&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A36.1&Дифтерия носоглотки
195&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A36.2&Дифтерия гортани
196&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A36.3&Дифтерия кожи
197&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A36.8&Другая дифтерия
198&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A36.9&Дифтерия неуточненная
199&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A37&Коклюш
200&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A37.0&Коклюш, вызванный Bordetella pertussis
201&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A37.1&Коклюш, вызванный Bordetella parapertussis
202&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A37.8&Коклюш,вызванный др.возбудителем вида Bordetella
203&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A37.9&Коклюш неуточненный
204&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A38&Скарлатина
205&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A38&Скарлатина
206&1&Некоторые инфекционные и паразитарные болезни& A30-A49  &Другие бактериальные болезни&A39&Менингококковая инфекция
